Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
16,tt4846318,2017-02-27,2017-02-27,,Into the Inferno,https://www.imdb.com/title/tt4846318/,movie,7.2,104,2016,Documentary,6001,2016-09-03,Werner Herzog,,
17,tt3315342,2017-03-02,2017-03-02,,Logan,https://www.imdb.com/title/tt3315342/,movie,8.1,137,2017,"Action, Drama, Sci-Fi, Thriller",588619,2017-02-17,James Mangold,,
18,tt0080120,2017-03-08,2017-03-08,,The Warriors,https://www.imdb.com/title/tt0080120/,movie,7.6,92,1979,"Action, Crime, Thriller",87785,1979-02-01,Walter Hill,,
19,tt3553976,2017-03-12,2017-03-12,,Captain Fantastic,https://www.imdb.com/title/tt3553976/,movie,7.9,118,2016,"Comedy, Drama",167367,2016-01-23,Matt Ross,,
20,tt2582782,2017-03-19,2017-03-19,,Hell or High Water,https://www.imdb.com/title/tt2582782/,movie,7.6,102,2016,"Action, Crime, Drama, Thriller, Western",183848,2016-05-16,David Mackenzie,,
21,tt0093894,2017-03-19,2017-03-19,,The Running Man,https://www.imdb.com/title/tt0093894/,movie,6.7,101,1987,"Action, Sci-Fi, Thriller",133888,1987-11-13,Paul Michael Glaser,,
22,tt0037382,2017-03-19,2017-03-19,,To Have and Have Not,https://www.imdb.com/title/tt0037382/,movie,7.9,100,1944,"Adventure, Comedy, Film-Noir, Romance, Thriller, War",28771,1944-10-11,Howard Hawks,,
23,tt4158096,2017-04-05,2017-04-05,,Free Fire,https://www.imdb.com/title/tt4158096/,movie,6.4,91,2016,"Action, Comedy, Crime, Thriller",37678,2016-09-08,Ben Wheatley,,
24,tt0199683,2017-04-11,2017-04-11,,Kikujirô no natsu,https://www.imdb.com/title/tt0199683/,movie,7.8,122,1999,"Drama, Comedy",17332,1999-05-20,Takeshi Kitano,,
25,tt0259393,2017-04-14,2017-04-14,,Lantana,https://www.imdb.com/title/tt0259393/,movie,7.2,121,2001,"Drama, Mystery, Romance",17816,2001-06-08,Ray Lawrence,,
26,tt1219827,2017-04-15,2017-04-15,,Ghost in the Shell,https://www.imdb.com/title/tt1219827/,movie,6.3,107,2017,"Action, Drama, Sci-Fi, Thriller",183490,2017-03-16,Rupert Sanders,,
27,tt4975722,2017-04-16,2017-04-16,,Moonlight,https://www.imdb.com/title/tt4975722/,movie,7.4,111,2016,Drama,240022,2016-09-02,Barry Jenkins,,
28,tt3508840,2017-04-22,2017-04-22,,Ci ke Nie Yin Niang,https://www.imdb.com/title/tt3508840/,movie,6.3,105,2015,"Action, Drama, History",14482,2015-05-21,Hsiao-Hsien Hou,,
29,tt4630562,2017-04-23,2017-04-23,,The Fate of the Furious,https://www.imdb.com/title/tt4630562/,movie,6.7,136,2017,"Action, Adventure, Thriller",188865,2017-04-04,F. Gary Gray,,
30,tt1617661,2017-04-28,2017-04-28,,Jupiter Ascending,https://www.imdb.com/title/tt1617661/,movie,5.3,127,2015,"Action, Adventure, Sci-Fi",170305,2015-01-27,"Lilly Wachowski, Lana Wachowski",,
31,tt0089853,2017-04-30,2017-04-30,,The Purple Rose of Cairo,https://www.imdb.com/title/tt0089853/,movie,7.7,82,1985,"Comedy, Fantasy, Romance",44092,1985-01-26,Woody Allen,,
32,tt3896198,2017-05-01,2017-05-01,,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,movie,7.6,136,2017,"Action, Adventure, Comedy, Sci-Fi",513568,2017-04-10,James Gunn,,
33,tt2802144,2017-05-07,2017-05-07,,Kingsman: The Secret Service,https://www.imdb.com/title/tt2802144/,movie,7.7,129,2014,"Action, Adventure, Comedy, Thriller",558325,2014-12-13,Matthew Vaughn,,
34,tt4016934,2017-05-09,2017-05-09,,Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,movie,8.1,145,2016,"Drama, Romance, Thriller",87492,2016-05-14,Chan-wook Park,,
35,tt0113568,2017-05-13,2017-05-13,,Kôkaku Kidôtai,https://www.imdb.com/title/tt0113568/,movie,8.0,83,1995,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller",119077,1995-09-23,Mamoru Oshii,,
36,tt0031679,2017-05-21,2017-05-21,,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,movie,8.1,129,1939,"Comedy, Drama",100427,1939-10-17,Frank Capra,,
37,tt0114614,2017-06-04,2017-06-04,,Tank Girl,https://www.imdb.com/title/tt0114614/,movie,5.3,104,1995,"Action, Comedy, Sci-Fi",28762,1995-03-31,Rachel Talalay,,
38,tt2674454,2017-06-06,2017-06-06,,Churchill,https://www.imdb.com/title/tt2674454/,movie,6.4,105,2017,"Biography, Drama, History, War",12590,2017-04-25,Jonathan Teplitzky,,
39,tt0097576,2017-07-02,2017-07-02,,Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,movie,8.2,127,1989,"Action, Adventure",650358,1989-05-24,Steven Spielberg,,
40,tt0096283,2017-07-08,2017-07-08,,Tonari no Totoro,https://www.imdb.com/title/tt0096283/,movie,8.2,86,1988,"Animation, Family, Fantasy",248019,1988-04-16,Hayao Miyazaki,,
41,tt0070909,2017-07-20,2017-07-20,,Westworld,https://www.imdb.com/title/tt0070909/,movie,7.0,88,1973,"Action, Sci-Fi, Thriller, Western",47925,1973-08-15,Michael Crichton,,
42,tt0119698,2017-07-22,2017-07-22,,Mononoke-hime,https://www.imdb.com/title/tt0119698/,movie,8.4,134,1997,"Animation, Adventure, Fantasy",305153,1997-07-12,Hayao Miyazaki,,
43,tt0347149,2017-08-05,2017-08-05,,Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,movie,8.2,119,2004,"Animation, Adventure, Family, Fantasy",292529,2004-09-05,Hayao Miyazaki,,
44,tt0070510,2017-08-06,2017-08-06,,Paper Moon,https://www.imdb.com/title/tt0070510/,movie,8.1,102,1973,"Comedy, Drama",39021,1973-04-09,Peter Bogdanovich,,
45,tt5013056,2017-08-09,2017-08-09,,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.9,106,2017,"Action, Drama, History, Thriller, War",489562,2017-07-13,Christopher Nolan,,
46,tt1704573,2017-08-17,2017-08-17,,Bernie,https://www.imdb.com/title/tt1704573/,movie,6.8,99,2011,"Biography, Comedy, Crime, Drama",54559,2011-06-16,Richard Linklater,,
47,tt4799064,2017-08-19,2017-08-19,,Mindhorn,https://www.imdb.com/title/tt4799064/,movie,6.3,89,2016,Comedy,9602,2016-10-09,Sean Foley,,
48,tt5186714,2017-08-19,2017-08-19,,Forushande,https://www.imdb.com/title/tt5186714/,movie,7.8,124,2016,"Drama, Thriller",43919,2016-05-21,Asghar Farhadi,,
49,tt0117653,2017-08-29,2017-08-29,,Silent Trigger,https://www.imdb.com/title/tt0117653/,movie,5.5,93,1996,"Action, Drama, Thriller",3439,1996-07-04,Russell Mulcahy,,
50,tt4698684,2017-09-03,2017-09-03,,Hunt for the Wilderpeople,https://www.imdb.com/title/tt4698684/,movie,7.9,101,2016,"Adventure, Comedy, Drama",92492,2016-01-22,Taika Waititi,,
51,tt0105488,2017-09-08,2017-09-08,,Strictly Ballroom,https://www.imdb.com/title/tt0105488/,movie,7.1,94,1992,"Comedy, Drama, Music, Romance",23653,1992-05-10,Baz Luhrmann,,
52,tt0109444,2017-09-11,2017-09-11,,Clear and Present Danger,https://www.imdb.com/title/tt0109444/,movie,6.9,141,1994,"Action, Crime, Drama, Thriller",83752,1994-08-03,Phillip Noyce,,
53,tt0111255,2017-09-12,2017-09-12,,The Specialist,https://www.imdb.com/title/tt0111255/,movie,5.6,110,1994,"Action, Crime, Drama, Thriller",59630,1994-10-07,Luis Llosa,,
54,tt2911666,2017-09-17,2017-09-17,,John Wick,https://www.imdb.com/title/tt2911666/,movie,7.4,101,2014,"Action, Crime, Thriller",486327,2014-09-19,"David Leitch, Chad Stahelski",,
55,tt0099653,2017-09-24,2017-09-24,,Ghost,https://www.imdb.com/title/tt0099653/,movie,7.0,127,1990,"Drama, Fantasy, Romance, Thriller",183916,1990-07-13,Jerry Zucker,,
56,tt4649466,2017-09-27,2017-09-27,,Kingsman: The Golden Circle,https://www.imdb.com/title/tt4649466/,movie,6.8,141,2017,"Action, Adventure, Comedy",244174,2017-09-20,Matthew Vaughn,,
57,tt0089821,2017-10-06,2017-10-06,,Police,https://www.imdb.com/title/tt0089821/,movie,6.6,113,1985,"Crime, Drama, Romance, Thriller",2022,1985-09-04,Maurice Pialat,,
58,tt5700176,2017-10-08,2017-10-08,,Dark River,https://www.imdb.com/title/tt5700176/,movie,5.8,90,2017,"Drama, Mystery, Thriller",2551,2017-09-10,Clio Barnard,,
59,tt6958212,2017-10-13,2017-10-13,,Sweet Country,https://www.imdb.com/title/tt6958212/,movie,6.9,113,2017,"Adventure, Crime, Drama, History, Thriller, Western",6143,2017-09-06,Warwick Thornton,,
60,tt2543164,2017-10-13,2017-10-13,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Mystery, Sci-Fi, Thriller",538840,2016-09-01,Denis Villeneuve,,
61,tt5742374,2017-10-15,2017-10-15,,You Were Never Really Here,https://www.imdb.com/title/tt5742374/,movie,6.8,89,2017,"Crime, Drama, Mystery, Thriller",82639,2017-05-27,Lynne Ramsay,,
62,tt4073682,2017-10-15,2017-10-15,,Bugday,https://www.imdb.com/title/tt4073682/,movie,6.1,123,2017,"Drama, Sci-Fi",1122,2017-08-12,Semih Kaplanoglu,,
63,tt1856101,2017-10-17,2017-10-17,,Blade Runner 2049,https://www.imdb.com/title/tt1856101/,movie,8.0,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",402480,2017-10-03,Denis Villeneuve,,
64,tt4686844,2017-10-18,2017-10-18,,The Death of Stalin,https://www.imdb.com/title/tt4686844/,movie,7.2,107,2017,"Comedy, Drama, History",69243,2017-09-08,Armando Iannucci,,
65,tt0120749,2017-10-21,2017-10-21,,Mercury Rising,https://www.imdb.com/title/tt0120749/,movie,6.1,111,1998,"Action, Crime, Drama, Thriller",64000,1998-04-01,Harold Becker,,
66,tt2368619,2017-10-24,2017-10-24,,Bastille Day,https://www.imdb.com/title/tt2368619/,movie,6.3,92,2016,"Action, Crime, Drama, Thriller",32513,2016-04-20,James Watkins,,
67,tt3501632,2017-11-02,2017-11-02,,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,movie,7.9,130,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",521367,2017-10-10,Taika Waititi,,
68,tt0102926,2017-11-09,2017-11-09,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1173439,1991-01-30,Jonathan Demme,,
69,tt0117318,2017-11-18,2017-11-18,,The People vs. Larry Flynt,https://www.imdb.com/title/tt0117318/,movie,7.3,129,1996,"Biography, Drama",83953,1996-10-13,Milos Forman,,
70,tt0094721,2017-11-24,2017-11-24,,Beetlejuice,https://www.imdb.com/title/tt0094721/,movie,7.5,92,1988,"Comedy, Fantasy",241278,1988-03-29,Tim Burton,,
71,tt0040723,2017-11-30,2017-11-30,,Raw Deal,https://www.imdb.com/title/tt0040723/,movie,7.2,79,1948,"Crime, Drama, Film-Noir, Thriller",3746,1948-05-21,Anthony Mann,,
72,tt1430607,2017-12-10,2017-12-10,,Arthur Christmas,https://www.imdb.com/title/tt1430607/,movie,7.1,97,2011,"Animation, Adventure, Comedy, Family, Fantasy",46613,2011-11-11,"Barry Cook, Sarah Smith",,
73,tt0087363,2017-12-16,2017-12-16,,Gremlins,https://www.imdb.com/title/tt0087363/,movie,7.3,106,1984,"Comedy, Fantasy, Horror",183348,1984-06-08,Joe Dante,,
74,tt0097958,2017-12-17,2017-12-17,,National Lampoon's Christmas Vacation,https://www.imdb.com/title/tt0097958/,movie,7.6,97,1989,Comedy,136890,1989-11-30,Jeremiah S. Chechik,,
75,tt0113497,2017-12-17,2017-12-17,,Jumanji,https://www.imdb.com/title/tt0113497/,movie,7.0,104,1995,"Adventure, Comedy, Family, Fantasy",279653,1995-12-15,Joe Johnston,,
76,tt0388473,2017-12-21,2017-12-21,,Tôkyô goddofâzâzu,https://www.imdb.com/title/tt0388473/,movie,7.8,93,2003,"Animation, Adventure, Comedy, Drama",27485,2003-08-30,"Shôgo Furuya, Satoshi Kon",,
77,tt0862467,2017-12-21,2017-12-21,,Valhalla Rising,https://www.imdb.com/title/tt0862467/,movie,6.1,93,2009,"Adventure, Drama, Fantasy",53155,2009-09-04,Nicolas Winding Refn,,
78,tt0304669,2017-12-22,2017-12-22,,The Santa Clause 2,https://www.imdb.com/title/tt0304669/,movie,5.6,104,2002,"Comedy, Family, Fantasy",46208,2002-10-27,Michael Lembeck,,
79,tt0104940,2017-12-22,2017-12-22,,The Muppet Christmas Carol,https://www.imdb.com/title/tt0104940/,movie,7.7,85,1992,"Comedy, Drama, Family, Fantasy, Musical",43750,1992-12-06,Brian Henson,,
80,tt1343092,2017-12-26,2017-12-26,,The Great Gatsby,https://www.imdb.com/title/tt1343092/,movie,7.3,143,2013,"Drama, Romance",444644,2013-05-01,Baz Luhrmann,,
81,tt2527336,2017-12-27,2017-12-27,,Star Wars: Episode VIII - The Last Jedi,https://www.imdb.com/title/tt2527336/,movie,7.1,152,2017,"Action, Adventure, Fantasy, Sci-Fi",487059,2017-12-09,Rian Johnson,,
82,tt0106226,2017-12-30,2017-12-30,,The Age of Innocence,https://www.imdb.com/title/tt0106226/,movie,7.2,139,1993,"Drama, Romance",45919,1993-08-31,Martin Scorsese,,
83,tt0097428,2018-01-01,2018-01-01,,Ghostbusters II,https://www.imdb.com/title/tt0097428/,movie,6.6,108,1989,"Action, Comedy, Fantasy, Sci-Fi",172123,1989-06-15,Ivan Reitman,,
